Precio Felicidad Relacion Ponderacion Pasos Tiempo
1139.2149999999997 62 18.37443548387096 16 43 7
1139.2149999999997 62 18.37443548387096 17 43 7
1139.2149999999997 62 18.37443548387096 18 43 7
1139.2149999999997 62 18.37443548387096 19 43 7
1139.2149999999997 62 18.37443548387096 20 43 7
1139.2149999999997 62 18.37443548387096 21 43 7
1139.2149999999997 62 18.37443548387096 22 43 7
1139.2149999999997 62 18.37443548387096 23 43 7
1139.2149999999997 62 18.37443548387096 24 43 7
1139.2149999999997 62 18.37443548387096 25 43 7
991.2849999999993 8 123.91062499999991 1 37 8
1002.6799999999989 16 62.66749999999993 2 36 8
1025.1499999999987 26 39.4288461538461 3 37 8
1074.909999999998 39 27.56179487179482 4 37 7
1085.1499999999996 42 25.836904761904755 5 35 7
1087.9349999999995 42 25.903214285714274 6 36 7
