K LAMBDA PRECIO PASOS TIEMPO
50000 0.1 1104.5349999999994 7005 1

5 1.0E-4 1070.256000000001 7005 1
50 1.0E-4 1115.7780000000014 7005 1
500 1.0E-4 1116.356000000001 7005 1
5000 1.0E-4 1135.594000000001 7005 1
50000 1.0E-4 1118.4300000000007 7005 1
5 0.001 1045.137000000001 7005 1
50 0.001 1113.5540000000012 7005 1
500 0.001 1123.6600000000008 7005 1
5000 0.001 1119.6050000000012 7005 1
50000 0.001 1124.621000000001 7005 1
5 0.01 1023.3410000000009 7005 1
50 0.01 1025.987000000001 7005 1
500 0.01 1026.9660000000013 7005 1
5000 0.01 1034.557000000001 7005 1
50000 0.01 1044.7890000000014 7005 1
5 0.1 1022.1110000000011 7005 1
50 0.1 1023.1270000000007 7005 1
500 0.1 1026.3480000000006 7005 1
5000 0.1 1024.3270000000007 7005 1
50000 0.1 1023.844000000001 7005 1

5 1.0E-4 1019.5440000000004 7005 1
50 1.0E-4 1061.1880000000008 7005 1
500 1.0E-4 1059.7940000000003 7005 1
5000 1.0E-4 1062.8580000000006 7005 1
50000 1.0E-4 1058.3130000000006 7005 1
5 0.001 983.7070000000009 7005 1
50 0.001 1046.4440000000006 7005 1
500 0.001 1060.4010000000003 7005 1
5000 0.001 1046.6800000000007 7005 1
50000 0.001 1061.1350000000004 7005 1
5 0.01 960.9100000000005 7005 1
50 0.01 967.1260000000009 7005 1
500 0.01 964.5510000000002 7005 1
5000 0.01 974.4930000000002 7005 0
50000 0.01 986.5390000000003 7005 1
5 0.1 962.4640000000003 7005 1
50 0.1 965.0090000000007 7005 1
500 0.1 962.4750000000001 7005 1
5000 0.1 964.0270000000006 7005 1
50000 0.1 962.3060000000008 7005 1

5 1.0E-4 919.4339999999999 7005 0
50 1.0E-4 949.3080000000002 7005 0
500 1.0E-4 954.0169999999998 7005 0
5000 1.0E-4 955.5789999999994 7005 0
50000 1.0E-4 946.6650000000002 7005 0
5 0.001 904.615 7005 0
50 0.001 946.655 7005 0
500 0.001 945.5049999999999 7005 0
5000 0.001 955.8700000000005 7005 0
50000 0.001 953.1910000000001 7005 0
5 0.01 883.2620000000001 7005 0
50 0.01 884.4469999999995 7005 0
500 0.01 882.2940000000001 7005 0
5000 0.01 893.6390000000001 7005 0
50000 0.01 903.8769999999998 7005 0
5 0.1 880.7139999999997 7005 1
50 0.1 880.2279999999998 7005 1
500 0.1 881.6669999999998 7005 1
5000 0.1 880.6940000000001 7005 1
50000 0.1 883.5749999999998 7005 1

5 1.0E-4 1006.2669999999995 7005 0
50 1.0E-4 1034.2329999999997 7005 0
500 1.0E-4 1034.2740000000001 7005 0
5000 1.0E-4 1038.0910000000003 7005 0
50000 1.0E-4 1035.4259999999997 7005 0
5 0.001 990.0899999999999 7005 0
50 0.001 1037.6469999999995 7005 0
500 0.001 1036.9029999999998 7005 0
5000 0.001 1040.5050000000003 7005 0
50000 0.001 1039.512 7005 0
5 0.01 965.6479999999999 7005 0
50 0.01 965.9609999999993 7005 0
500 0.01 968.4699999999997 7005 0
5000 0.01 975.9080000000007 7005 0
50000 0.01 985.3179999999996 7005 1
5 0.1 965.992 7005 1
50 0.1 965.9200000000001 7005 1
500 0.1 966.7049999999997 7005 1
5000 0.1 966.2030000000002 7005 1
50000 0.1 966.0069999999998 7005 1

5 1.0E-4 986.6089999999995 7005 0
50 1.0E-4 1016.9869999999995 7005 0
500 1.0E-4 1015.7879999999993 7005 0
5000 1.0E-4 1016.1429999999991 7005 0
50000 1.0E-4 1012.5779999999993 7005 0
5 0.001 952.9109999999994 7005 0
50 0.001 1001.4979999999993 7005 0
500 0.001 1007.5159999999994 7005 0
5000 0.001 1018.4579999999999 7005 0
50000 0.001 1019.9629999999988 7005 0
5 0.01 932.2570000000003 7005 0
50 0.01 930.2959999999996 7005 0
500 0.01 937.3979999999995 7005 0
5000 0.01 935.8129999999992 7005 0
50000 0.01 953.8979999999995 7005 0
5 0.1 933.3779999999999 7005 1
50 0.1 930.5309999999994 7005 1
500 0.1 930.5869999999995 7005 1
5000 0.1 932.7070000000001 7005 1
50000 0.1 928.3079999999997 7005 1

5 1.0E-4 1022.3150000000002 7005 1
50 1.0E-4 1042.0839999999996 7005 0
500 1.0E-4 1048.1449999999995 7005 0
5000 1.0E-4 1050.625 7005 0
50000 1.0E-4 1049.2789999999995 7005 0
5 0.001 999.9099999999995 7005 0
50 0.001 1039.225 7005 0
500 0.001 1051.8839999999996 7005 0
5000 0.001 1040.2109999999998 7005 0
50000 0.001 1045.43 7005 0
5 0.01 984.5809999999998 7005 0
50 0.01 986.3469999999995 7005 0
500 0.01 988.9500000000004 7005 0
5000 0.01 990.3589999999998 7005 0
50000 0.01 998.15 7005 0
5 0.1 984.564 7005 1
50 0.1 985.0949999999997 7005 1
500 0.1 985.0379999999993 7005 1
5000 0.1 984.3839999999997 7005 1
50000 0.1 984.7989999999998 7005 1

5 1.0E-4 981.4640000000003 7005 0
50 1.0E-4 1011.2130000000006 7005 0
500 1.0E-4 1001.9790000000003 7005 0
5000 1.0E-4 1002.8710000000004 7005 0
50000 1.0E-4 1002.5009999999995 7005 1
5 0.001 965.9110000000003 7005 0
50 0.001 1001.5160000000012 7005 0
500 0.001 1007.551000000001 7005 0
5000 0.001 1005.6790000000001 7005 0
50000 0.001 1010.204 7005 0
5 0.01 947.2070000000006 7005 0
50 0.01 946.6310000000005 7005 0
500 0.01 950.8060000000005 7005 0
5000 0.01 949.7790000000008 7005 0
50000 0.01 958.832 7005 0
5 0.1 947.7490000000001 7005 1
50 0.1 948.296 7005 1
500 0.1 945.939 7005 1
5000 0.1 949.2489999999996 7005 1
50000 0.1 947.4119999999999 7005 1

5 1.0E-4 1043.6440000000002 7005 0
50 1.0E-4 1082.101 7005 0
500 1.0E-4 1083.6859999999997 7005 0
5000 1.0E-4 1091.0470000000003 7005 0
50000 1.0E-4 1091.6139999999998 7005 0
5 0.001 1022.1450000000007 7005 0
50 0.001 1078.5559999999998 7005 0
500 0.001 1093.17 7005 0
5000 0.001 1093.4499999999996 7005 0
50000 0.001 1086.7970000000003 7005 0
5 0.01 1003.7130000000003 7005 0
50 0.01 1004.551 7005 0
500 0.01 1009.8019999999997 7005 0
5000 0.01 1014.4059999999997 7005 0
50000 0.01 1024.0900000000006 7005 1
5 0.1 1005.0929999999989 7005 1
50 0.1 1004.6719999999993 7005 1
500 0.1 1004.4949999999997 7005 1
5000 0.1 1006.1039999999994 7005 1
50000 0.1 1004.7619999999991 7005 1

5 1.0E-4 1001.8919999999991 7005 0
50 1.0E-4 1021.1610000000001 7005 0
500 1.0E-4 1023.2460000000001 7005 0
5000 1.0E-4 1021.6889999999996 7005 0
50000 1.0E-4 1019.9239999999998 7005 0
5 0.001 977.4979999999996 7005 0
50 0.001 1016.182 7005 0
500 0.001 1022.4229999999994 7005 1
5000 0.001 1021.2509999999996 7005 1
50000 0.001 1016.5839999999996 7005 1
5 0.01 951.7829999999998 7005 1
50 0.01 955.1670000000001 7005 1
500 0.01 955.7299999999998 7005 1
5000 0.01 960.195 7005 1
50000 0.01 967.2280000000004 7005 1
5 0.1 950.1889999999997 7005 1
50 0.1 950.8779999999997 7005 1
500 0.1 950.1999999999996 7005 1
5000 0.1 951.0169999999998 7005 1
50000 0.1 951.7009999999997 7005 1

5 1.0E-4 1191.7919999999997 7005 1
50 1.0E-4 1223.257 7005 1
500 1.0E-4 1230.4909999999998 7005 1
5000 1.0E-4 1224.0809999999997 7005 1
50000 1.0E-4 1218.8769999999995 7005 1
5 0.001 1169.149 7005 1
50 0.001 1223.271999999999 7005 1
500 0.001 1218.0409999999997 7005 0
5000 0.001 1215.6189999999995 7005 0
50000 0.001 1227.5979999999997 7005 0
5 0.01 1151.4230000000002 7005 0
50 0.01 1154.695 7005 0
500 0.01 1157.8889999999997 7005 0
5000 0.01 1156.6719999999998 7005 0
50000 0.01 1167.5849999999998 7005 1
5 0.1 1151.965 7005 1
50 0.1 1156.6089999999995 7005 1
500 0.1 1154.0589999999997 7005 1
5000 0.1 1151.6829999999998 7005 1
50000 0.1 1157.063999999999 7005 1

5 1.0E-4 1037.2459999999996 7005 0
50 1.0E-4 1073.7599999999995 7005 0
500 1.0E-4 1070.7659999999992 7005 0
5000 1.0E-4 1072.0799999999995 7005 0
50000 1.0E-4 1078.5299999999993 7005 0
5 0.001 1017.7329999999998 7005 0
50 0.001 1068.1909999999996 7005 0
500 0.001 1069.264999999999 7005 0
5000 0.001 1069.9609999999993 7005 0
50000 0.001 1061.616999999999 7005 0
5 0.01 995.6059999999998 7005 0
50 0.01 1000.9729999999996 7005 0
500 0.01 1002.203999999999 7005 0
5000 0.01 1004.6869999999996 7005 0
50000 0.01 1006.6229999999993 7005 1
5 0.1 996.803999999999 7005 1
50 0.1 996.2199999999999 7005 1
500 0.1 997.2569999999993 7005 1
5000 0.1 997.3639999999998 7005 1
50000 0.1 997.9609999999993 7005 1

5 1.0E-4 1010.6810000000007 7005 0
50 1.0E-4 1035.67 7005 0
500 1.0E-4 1035.033 7005 0
5000 1.0E-4 1036.7629999999995 7005 0
50000 1.0E-4 1031.6379999999997 7005 0
5 0.001 991.9909999999996 7005 0
50 0.001 1031.7789999999995 7005 0
500 0.001 1029.7939999999996 7005 0
5000 0.001 1034.059 7005 0
50000 0.001 1036.208 7005 0
5 0.01 973.1599999999995 7005 0
50 0.01 974.4779999999997 7005 0
500 0.01 975.7649999999996 7005 0
5000 0.01 978.292 7005 0
50000 0.01 993.9820000000002 7005 1
5 0.1 973.8969999999994 7005 1
50 0.1 972.3179999999996 7005 1
500 0.1 973.4480000000001 7005 1
5000 0.1 973.5299999999992 7005 1
50000 0.1 973.5339999999993 7005 1

5 1.0E-4 971.3080000000006 7005 0
50 1.0E-4 997.467 7005 0
500 1.0E-4 1001.1960000000005 7005 0
5000 1.0E-4 1004.9270000000006 7005 0
50000 1.0E-4 1006.829 7005 0
5 0.001 945.3660000000002 7005 0
50 0.001 996.8730000000007 7005 0
500 0.001 1003.2120000000002 7005 0
5000 0.001 1007.5920000000002 7005 0
50000 0.001 1008.5950000000009 7005 0
5 0.01 923.0209999999992 7005 0
50 0.01 924.7889999999995 7005 0
500 0.01 925.7470000000001 7005 0
5000 0.01 929.9310000000007 7005 0
50000 0.01 936.533 7005 0
5 0.1 923.7180000000001 7005 1
50 0.1 924.5379999999999 7005 1
500 0.1 924.6899999999998 7005 1
5000 0.1 923.9979999999994 7005 1
50000 0.1 924.1449999999998 7005 1

5 1.0E-4 1048.4060000000002 7005 0
50 1.0E-4 1067.7919999999995 7005 0
500 1.0E-4 1067.1499999999996 7005 0
5000 1.0E-4 1063.1169999999997 7005 0
50000 1.0E-4 1072.0479999999998 7005 0
5 0.001 1034.18 7005 0
50 0.001 1063.1109999999996 7005 0
500 0.001 1064.644 7005 0
5000 0.001 1065.7769999999994 7005 0
50000 0.001 1060.7509999999995 7005 1
5 0.01 1008.9469999999994 7005 0
50 0.01 1012.235 7005 0
500 0.01 1015.8719999999997 7005 0
5000 0.01 1018.0789999999997 7005 1
50000 0.01 1024.3949999999995 7005 1
5 0.1 1007.506 7005 1
50 0.1 1006.5599999999998 7005 1
500 0.1 1012.2909999999998 7005 1
5000 0.1 1007.6989999999994 7005 1
50000 0.1 1009.7459999999992 7005 1

5 1.0E-4 1116.852999999999 7005 0
50 1.0E-4 1138.7279999999987 7005 0
500 1.0E-4 1138.4669999999992 7005 0
5000 1.0E-4 1137.944999999999 7005 0
50000 1.0E-4 1140.6529999999996 7005 0
5 0.001 1099.1279999999986 7005 0
50 0.001 1139.2859999999994 7005 1
500 0.001 1138.634999999999 7005 0
5000 0.001 1142.3009999999992 7005 0
50000 0.001 1137.7529999999992 7005 0
5 0.01 1071.4919999999993 7005 0
50 0.01 1075.3679999999993 7005 0
500 0.01 1076.4279999999987 7005 0
5000 0.01 1085.4419999999989 7005 0
50000 0.01 1090.6849999999988 7005 1
5 0.1 1072.364999999999 7005 1
50 0.1 1073.5049999999992 7005 1
500 0.1 1073.220999999999 7005 1
5000 0.1 1074.5409999999993 7005 1
50000 0.1 1071.947999999999 7005 1

5 1.0E-4 1093.0030000000017 7005 0
50 1.0E-4 1124.4600000000007 7005 0
500 1.0E-4 1130.325000000001 7005 0
5000 1.0E-4 1124.5520000000008 7005 0
50000 1.0E-4 1126.7720000000013 7005 0
5 0.001 1070.5380000000011 7005 0
50 0.001 1122.1260000000009 7005 0
500 0.001 1125.1400000000008 7005 0
5000 0.001 1121.9020000000007 7005 0
50000 0.001 1129.215000000001 7005 0
5 0.01 1054.4980000000007 7005 0
50 0.01 1052.5210000000004 7005 0
500 0.01 1055.3640000000005 7005 0
5000 0.01 1060.0080000000003 7005 0
