Precio Felicidad Relacion Ponderacion Tiempo
1091.9459999999985 60 18.018910891089085 25 0
1019.6430000000015 18 55.41538043478269 1 1
1049.2770000000014 35 29.474073033707906 2 2
1073.8810000000012 46 23.143987068965544 3 0
1097.3520000000012 54 20.098021978022 4 0
1118.1900000000012 60 18.39128289473686 5 0
1148.258000000001 66 17.189491017964084 6 1
1152.248000000001 67 17.146547619047634 7 0
1162.1010000000012 69 16.744971181556213 8 1
1169.2870000000014 69 16.94618840579712 9 0
1166.9690000000012 69 16.863713872832385 10 1
1173.3540000000007 69 16.95598265895955 11 2
1168.5000000000011 69 16.788793103448292 12 1
1177.1740000000004 68 17.31138235294118 13 1
1171.2460000000005 68 17.22420588235295 14 1
1173.5600000000009 66 17.727492447129922 15 1
1174.5310000000009 64 18.12547839506174 16 1
1175.7930000000008 65 18.033634969325163 17 1
1176.9790000000012 65 18.107369230769248 18 1
1175.0950000000007 64 18.303660436137083 19 1
1177.1060000000007 65 17.889148936170223 20 2
1178.223000000001 65 18.070904907975475 21 2
1179.173000000001 64 18.253452012383914 22 1
1179.9850000000013 65 18.09792944785278 23 1
1179.768000000001 65 18.150276923076937 24 1
1180.2970000000005 64 18.32759316770187 25 1
954.8060000000002 8 119.35075000000002 1 1
975.0029999999995 20 46.87514423076921 2 1
1000.1049999999993 31 31.44984276729558 3 1
1015.5540000000004 38 26.58518324607331 4 1
1033.6289999999995 42 24.26359154929576 5 1
1046.7149999999995 46 22.65616883116882 6 0
1067.549000000001 47 22.333661087866126 7 0
1085.6039999999994 51 21.203203124999987 8 0
1095.6760000000002 52 20.90984732824428 9 0
1100.2020000000005 52 20.916387832699627 10 1
1095.4859999999999 52 20.747840909090908 11 0
1094.6580000000006 52 20.970459770114953 12 0
1104.9989999999998 52 21.087767175572516 13 0
1105.0670000000005 54 20.464203703703713 14 0
1107.8740000000003 53 20.824699248120304 15 0
1104.997 52 21.00754752851711 16 1
1106.3160000000003 52 21.193793103448282 17 3
1105.8410000000003 51 21.43102713178295 18 5
1095.5610000000001 50 21.82392430278885 19 2
1107.4310000000005 51 21.461841085271328 20 1
1107.0630000000003 52 21.208103448275867 21 2
1108.6110000000003 51 21.401756756756765 22 2
1102.3440000000005 50 21.785454545454556 23 0
1101.6020000000003 51 21.348875968992257 24 1
1107.7760000000003 51 21.552062256809347 25 1
969.6919999999998 16 59.85753086419752 1 0
990.9279999999999 29 33.9358904109589 2 1
1009.0719999999986 38 26.415497382198918 3 1
1031.9629999999993 46 22.05049145299144 4 1
1042.538 49 21.104008097165995 5 1
1053.167 50 20.731633858267713 6 2
1054.4539999999997 51 20.435155038759685 7 2
1066.5309999999997 54 19.60534926470588 8 1
1075.777 53 20.07046641791045 9 1
1078.1590000000003 55 19.602890909090917 10 1
1079.1809999999998 54 19.83788602941176 11 1
1076.162 51 21.0187890625 12 1
1074.6459999999993 52 20.666269230769217 13 1
1078.0739999999998 53 20.341018867924525 14 1
1081.2429999999997 53 20.40081132075471 15 0
1086.1219999999998 54 20.11337037037037 16 0
1083.729999999999 52 20.761111111111095 17 0
1090.071999999999 53 20.567396226415077 18 0
1086.3959999999995 52 20.81218390804597 19 1
1081.9779999999998 51 21.215254901960783 20 1
1089.8409999999992 52 20.719410646387818 21 0
1080.5289999999995 52 20.779403846153837 22 1
1084.7799999999997 50 21.43833992094861 23 1
1084.157 51 21.257980392156863 24 2
1087.0949999999998 51 21.149708171206225 25 0
948.5849999999998 14 66.80176056338027 1 0
969.7850000000002 29 32.763006756756766 2 0
993.6009999999997 40 24.84002499999999 3 1
1026.3410000000015 50 20.283418972332043 4 1
1043.7460000000005 55 18.977200000000007 5 1
1058.9900000000014 59 17.76828859060405 6 2
1072.2940000000006 63 16.966677215189883 7 1
1085.7780000000007 63 17.018463949843273 8 1
1081.6610000000007 62 17.223901273885364 9 1
1086.4550000000008 64 16.975859375000013 10 0
1088.131000000001 63 17.27192063492065 11 0
1089.5880000000004 62 17.57400000000001 12 0
1098.5010000000007 60 18.1270792079208 13 0
1090.207000000001 59 18.4156587837838 14 0
1094.850000000001 61 17.948360655737723 15 0
1093.8170000000005 59 18.414427609427616 16 0
1095.2880000000005 59 18.439191919191927 17 0
1094.374000000001 57 18.93380622837372 18 0
1096.5700000000008 58 18.77688356164385 19 0
1093.353000000001 57 18.916141868512128 20 0
1094.3440000000007 58 18.738767123287683 21 1
1095.9320000000012 59 18.326622073578612 22 1
1096.1840000000004 56 19.367208480565377 23 1
1095.9660000000008 56 19.363356890459375 24 1
1095.4890000000007 57 18.95309688581316 25 1
1008.193 20 49.91054455445545 1 1
1037.7139999999995 37 27.89553763440859 2 1
1070.2799999999993 53 20.04269662921347 3 1
1099.743 60 18.14757425742574 4 1
1103.8949999999998 64 17.248359374999996 5 1
1118.1950000000002 67 16.590430267062317 6 1
1130.3749999999995 66 17.023719879518065 7 1
1122.334 66 16.95368580060423 8 1
1128.6570000000004 67 16.745652818991104 9 1
1130.6960000000004 66 17.028554216867473 10 1
1128.8590000000002 69 16.360275362318845 11 1
1130.2570000000003 68 16.62142647058824 12 1
1131.3730000000005 65 17.352346625766877 13 1
1131.3640000000003 61 18.306860841423955 14 1
1129.8650000000002 62 18.223629032258067 15 1
1133.495 61 18.400892857142857 16 2
1131.3990000000001 60 18.60853618421053 17 1
1131.5910000000001 59 19.11471283783784 18 1
1132.867 61 18.571590163934427 19 0
1135.7850000000003 60 18.929750000000002 20 1
1133.3050000000005 57 19.813024475524482 21 1
1133.6439999999998 58 19.41171232876712 22 1
1131.661 59 19.18069491525424 23 1
1136.086 58 19.587689655172415 24 1
1135.378 58 19.375051194539246 25 1
1046.7640000000008 27 38.20306569343069 1 1
1075.7870000000007 42 25.492582938388644 2 1
1120.949000000001 59 18.93494932432434 3 0
1157.9590000000007 70 16.401685552407944 4 0
1171.6110000000008 74 15.747459677419366 5 0
1187.5150000000008 80 14.843937500000008 6 0
1200.1540000000011 81 14.780221674876861 7 0
1207.709000000001 83 14.480923261390899 8 0
1207.490000000001 83 14.548072289156638 9 1
1205.1250000000005 81 14.804975429975434 10 1
1210.4890000000012 81 14.87087223587225 11 1
1212.0780000000009 79 15.188947368421065 12 1
1211.7280000000005 79 15.222713567839204 13 1
1213.3830000000007 79 15.205300751879708 14 1
1212.049000000001 77 15.659547803617583 15 1
1213.4750000000004 80 15.05552109181142 16 1
1215.9120000000007 79 15.313753148614618 17 0
1214.3740000000003 78 15.48946428571429 18 1
1214.757 79 15.222518796992484 19 0
1211.3990000000008 78 15.412201017811716 20 0
1208.3210000000004 78 15.412257653061229 21 0
1210.5860000000005 78 15.480639386189264 22 0
1213.1960000000006 78 15.51401534526855 23 0
1211.9510000000005 78 15.458558673469392 24 0
1218.2060000000006 79 15.304095477386943 25 1
1002.9229999999995 21 47.75823809523808 1 1
1026.0549999999996 37 27.434625668449186 2 0
1068.5719999999997 50 21.371439999999993 3 0
1090.7689999999996 57 19.00294425087107 4 0
1106.7169999999994 62 17.73584935897435 5 0
1139.8799999999999 68 16.664912280701753 6 0
1141.0599999999997 68 16.682163742690054 7 0
1153.837 71 16.070153203342617 8 0
1163.0529999999994 72 15.97600274725274 9 0
1167.783 73 15.866616847826084 10 0
1167.821 73 15.997547945205477 11 0
1169.6699999999996 72 16.155662983425408 12 0
1170.4499999999994 71 16.347067039106136 13 0
1178.2469999999994 69 16.92883620689654 14 0
1180.1999999999994 69 17.104347826086947 15 1
1182.9419999999996 68 17.19392441860464 16 1
1178.3719999999998 70 16.785925925925923 17 0
1186.6579999999994 68 17.39967741935483 18 0
1179.5549999999992 67 17.397566371681403 19 0
1182.489 67 17.544347181008902 20 0
1184.5109999999993 68 17.419279411764695 21 1
1182.5749999999994 67 17.545623145400583 22 1
1182.2089999999994 68 17.233367346938767 23 0
1185.4109999999996 67 17.69270149253731 24 0
1182.6679999999992 65 18.028475609756086 25 0
